id,loan_status,loan_amount,loan_term,interest_rate,installment,purpose,dti,revolving_rate,employment_length,home_ownership,annual_income
1057001,charged off,30000,60,12.42,673.72,small_business,0.94,3.2,3,rent,70000.0
1065513,charged off,18000,60,16.77,445.13,home_improvement,18.42,73.4,6,own,40000.0
1061788,charged off,20000,60,20.3,533.23,debt_consolidation,20.91,83.1,10,own,59000.0
1065467,charged off,9000,60,19.91,238.0,credit_card,22.56,91.1,3,rent,60000.0
1065649,charged off,25000,60,18.64,643.58,debt_consolidation,12.6,60.8,10,rent,61500.0
1064102,charged off,20000,60,15.27,478.64,debt_consolidation,10.79,80.3,10,own,78216.0
1062399,charged off,18000,60,17.27,449.97,debt_consolidation,7.82,86.7,1,mortgage,62000.0
1065348,charged off,5000,36,12.42,167.08,debt_consolidation,23.84,89.7,2,rent,30000.0
1065304,charged off,12000,36,9.91,386.7,debt_consolidation,13.0,75.5,10,rent,55000.0
1065103,charged off,10000,36,11.71,330.76,credit_card,21.83,59.6,5,rent,32000.0
1065254,charged off,24000,36,8.9,762.08,car,3.94,8.1,10,mortgage,116400.0
1059620,charged off,12000,36,11.71,396.92,debt_consolidation,16.36,68.5,10,rent,57200.0
1065196,charged off,10000,36,12.69,335.45,debt_consolidation,12.03,84.6,2,rent,35000.0
1062248,charged off,9750,36,7.51,303.34,debt_consolidation,29.04,51.7,4,rent,35000.0
1064754,charged off,25000,60,19.42,654.31,credit_card,20.04,94.9,10,rent,60000.0
1064727,charged off,8875,36,12.69,297.72,debt_consolidation,23.11,71.1,5,mortgage,35360.0
1064636,charged off,12000,36,8.9,381.04,debt_consolidation,6.75,59.2,3,rent,32000.0
1056865,charged off,15000,60,12.69,338.93,debt_consolidation,24.76,65.7,3,own,30000.0
1064783,charged off,8050,36,12.69,270.04,debt_consolidation,14.8,81.3,1,rent,36000.0
1064608,charged off,6000,60,7.9,121.38,debt_consolidation,1.68,10.0,1,rent,30084.0
1064251,charged off,1500,36,18.64,54.72,other,4.59,99.8,1,rent,17000.0
1035800,charged off,20000,60,14.65,399.55,debt_consolidation,16.51,74.9,10,rent,75000.0
1064366,charged off,1000,36,14.65,34.5,major_purchase,6.0,83.7,8,rent,18408.0
1064150,charged off,8500,36,14.27,291.63,debt_consolidation,8.5,61.5,9,rent,50000.0
1029473,charged off,33425,60,13.49,475.63,debt_consolidation,25.71,50.5,2,mortgage,75000.0
1063949,charged off,18000,60,11.71,397.77,debt_consolidation,18.18,68.8,1,rent,40000.0
1064133,charged off,20000,60,16.77,494.59,debt_consolidation,9.46,41.0,10,rent,60000.0
1063751,charged off,14400,36,18.25,522.41,debt_consolidation,7.82,79.3,5,rent,51871.0
1063788,charged off,4200,60,17.27,105.0,debt_consolidation,10.13,77.0,9,rent,43000.0
1063781,charged off,3000,36,10.65,97.72,other,13.37,64.6,10,mortgage,86004.0
1063778,charged off,15000,36,16.29,529.51,small_business,21.99,84.1,1,rent,110000.0
1063693,charged off,10000,36,17.27,357.88,debt_consolidation,17.15,92.5,8,rent,68000.0
1057424,charged off,16000,36,7.9,500.65,debt_consolidation,24.66,81.0,1,rent,51000.0
1063448,charged off,2200,36,15.27,76.56,debt_consolidation,5.47,83.7,10,own,48000.0
1063421,charged off,8000,60,8.9,165.68,debt_consolidation,25.12,37.6,1,rent,51204.0
1063393,charged off,35000,60,20.3,619.88,debt_consolidation,16.39,76.5,3,own,85000.0
1059525,charged off,12000,60,14.65,283.28,credit_card,16.13,89.4,1,rent,75000.0
1063069,charged off,21250,36,12.42,710.08,other,14.27,69.3,5,rent,37000.0
1062997,charged off,15000,36,15.27,521.97,debt_consolidation,10.72,75.2,10,rent,60000.0
1062918,charged off,4000,36,12.69,134.18,home_improvement,17.6,5.5,6,rent,30000.0
1062976,charged off,4000,60,19.91,105.78,house,15.2,22.4,10,rent,45000.0
1062897,charged off,1700,36,7.9,53.2,home_improvement,27.0,91.2,4,mortgage,37800.0
1059486,charged off,12000,36,14.65,413.94,debt_consolidation,13.81,60.2,6,rent,54400.0
1062851,charged off,8000,60,20.3,213.29,debt_consolidation,14.23,95.0,1,rent,42500.0
1062844,charged off,13000,36,16.29,458.91,debt_consolidation,12.9,93.3,10,rent,28000.0
1062864,charged off,24000,60,17.58,603.98,debt_consolidation,21.29,25.3,5,rent,68809.0
1062734,charged off,11200,36,12.42,374.26,car,22.88,74.4,3,rent,75000.0
1062555,charged off,12000,36,14.27,411.71,credit_card,8.49,68.5,2,rent,28000.0
1062606,charged off,28000,36,7.9,876.13,home_improvement,5.29,24.8,4,mortgage,118000.0
1062536,charged off,3000,36,7.9,93.88,other,4.89,85.3,10,mortgage,65000.0
1036838,charged off,8575,36,17.58,308.21,debt_consolidation,22.54,89.9,2,mortgage,32000.0
1062478,charged off,28000,60,12.42,418.27,debt_consolidation,23.41,44.2,8,mortgage,84996.0
1062454,charged off,16000,60,18.25,408.48,credit_card,18.39,94.5,10,mortgage,49000.0
1062330,charged off,11000,36,7.9,344.2,credit_card,4.74,77.7,4,mortgage,80000.0
1062414,charged off,5000,36,16.29,176.51,medical,22.81,90.0,6,mortgage,85000.0
1062401,charged off,10000,36,12.69,335.45,debt_consolidation,15.9,65.3,6,own,36000.0
1031348,charged off,3000,36,16.29,105.91,other,15.16,60.2,4,mortgage,65000.0
1062268,charged off,7700,36,16.77,273.65,other,18.58,82.9,3,rent,29772.96
1062146,charged off,24500,60,20.89,661.3,credit_card,9.09,94.4,4,rent,85000.0
1062257,charged off,22200,36,19.42,818.49,debt_consolidation,13.33,89.1,2,rent,160000.0
1062250,charged off,13000,36,7.9,406.78,credit_card,16.93,66.1,10,rent,28000.0
997521,charged off,3600,36,12.69,120.77,medical,19.0,13.0,10,mortgage,60000.0
1058624,charged off,12375,60,23.13,349.79,other,20.88,22.5,5,rent,40000.0
1031266,charged off,7100,36,14.65,244.91,debt_consolidation,23.85,41.5,1,rent,33000.0
1061914,charged off,22400,60,22.74,628.13,credit_card,7.02,58.7,6,rent,85000.0
1061741,charged off,22250,36,12.69,746.38,debt_consolidation,15.63,61.9,2,rent,41000.0
1057749,charged off,7650,36,11.71,253.04,debt_consolidation,23.96,63.4,5,rent,57000.0
1061869,charged off,20675,60,15.27,494.8,other,23.31,74.1,7,rent,50132.0
1061661,charged off,20500,60,12.69,463.2,debt_consolidation,28.32,52.2,1,rent,47800.0
1061643,charged off,29000,60,12.42,651.27,debt_consolidation,7.22,57.7,10,rent,65000.0
1058931,charged off,12000,36,15.96,421.65,debt_consolidation,10.6,77.8,9,mortgage,88000.0
1061496,charged off,10000,36,13.49,339.31,debt_consolidation,20.96,32.0,10,rent,30000.0
1058858,charged off,21600,36,17.27,773.01,home_improvement,10.85,95.3,2,mortgage,58600.0
1060436,charged off,8250,60,19.91,218.17,wedding,20.25,79.7,3,rent,27500.0
1060995,charged off,12000,36,12.42,400.99,car,6.3,78.7,1,rent,60000.0
1061135,charged off,7200,36,11.71,238.15,credit_card,12.69,70.3,2,rent,33000.0
1060934,charged off,10000,36,11.71,330.76,debt_consolidation,11.79,78.2,5,own,35000.0
1061130,charged off,10000,36,14.27,343.09,credit_card,20.05,87.6,10,mortgage,77400.0
1060553,charged off,6000,36,14.27,205.86,credit_card,15.68,96.9,7,rent,30000.0
1060979,charged off,7000,36,16.77,248.77,wedding,20.31,97.8,1,rent,41000.0
1060970,charged off,3000,36,12.69,100.64,debt_consolidation,15.4,94.8,10,rent,30000.0
1060720,charged off,13200,36,11.71,436.61,debt_consolidation,9.55,77.6,2,mortgage,41600.0
1052346,charged off,20000,60,18.25,510.6,small_business,18.41,71.2,7,rent,70000.0
1060485,charged off,14125,36,12.42,472.0,debt_consolidation,21.93,91.5,1,mortgage,45696.0
1051471,charged off,18000,36,13.49,610.75,debt_consolidation,12.87,42.9,1,own,66000.0
1053763,charged off,35000,60,20.89,576.27,debt_consolidation,14.79,75.5,10,mortgage,71316.0
1060086,charged off,16000,60,17.58,402.65,debt_consolidation,21.14,70.5,1,rent,50000.0
1059948,charged off,12000,36,7.51,373.33,debt_consolidation,8.36,82.7,1,rent,83000.0
1060019,charged off,13000,36,20.3,485.12,debt_consolidation,7.69,99.5,5,rent,42000.0
1053454,charged off,7125,36,7.51,221.67,debt_consolidation,18.12,68.0,1,mortgage,30000.0
1059874,charged off,9600,36,7.51,298.67,debt_consolidation,27.34,74.8,10,rent,55000.0
1032863,charged off,12000,60,12.69,271.14,debt_consolidation,20.67,64.1,10,mortgage,63000.0
1057243,charged off,15000,36,15.27,521.97,credit_card,13.83,91.8,6,rent,38000.0
1059157,charged off,22250,60,15.27,532.49,debt_consolidation,23.76,58.1,2,mortgage,47532.0
1059522,charged off,6000,36,11.71,198.46,small_business,6.68,88.6,1,rent,37000.0
1059502,charged off,8200,60,16.77,202.78,credit_card,5.06,90.0,10,rent,42000.0
1055994,charged off,15000,60,15.96,364.46,credit_card,20.14,83.7,8,rent,37000.0
1059461,charged off,15700,60,19.42,258.46,debt_consolidation,9.12,89.9,1,mortgage,60000.0
1059319,charged off,35000,60,19.03,593.77,credit_card,14.08,83.8,4,mortgage,235000.0
1059291,charged off,12000,60,17.58,206.99,debt_consolidation,13.18,45.2,10,rent,78000.0
1059409,charged off,13000,60,19.42,340.24,credit_card,19.09,47.8,7,rent,55000.0
1058892,charged off,8000,36,15.27,278.39,house,12.48,81.8,2,own,108000.0
1057403,charged off,1200,36,12.69,40.26,vacation,13.41,94.2,8,rent,34000.0
1054453,charged off,5000,36,7.9,156.46,small_business,7.75,47.9,1,mortgage,66000.0
1058824,charged off,35000,60,20.89,944.71,debt_consolidation,7.93,82.2,5,rent,90000.0
1058734,charged off,13250,36,17.58,476.24,debt_consolidation,18.55,76.5,7,rent,35000.0
1058515,charged off,10000,36,11.71,330.76,debt_consolidation,10.41,82.5,5,rent,29406.0
1058110,charged off,2200,36,9.91,70.9,debt_consolidation,14.95,61.6,8,rent,26004.0
1058519,charged off,24000,36,12.69,805.08,credit_card,13.9,83.3,1,rent,120000.0
1058483,charged off,10625,36,14.27,364.54,debt_consolidation,15.49,80.4,10,rent,26500.0
1058484,charged off,7200,36,20.89,270.86,debt_consolidation,20.46,57.5,1,mortgage,88800.0
1057201,charged off,10400,60,22.35,289.32,debt_consolidation,8.82,99.3,3,mortgage,72000.0
1058372,charged off,12000,60,13.49,276.06,debt_consolidation,14.49,50.1,9,rent,55000.0
1058301,charged off,17200,60,17.27,429.97,home_improvement,23.76,89.0,9,mortgage,55000.0
1058309,charged off,10625,36,11.71,351.44,credit_card,23.2,70.4,1,rent,30000.0
1058126,charged off,16400,60,17.27,409.97,credit_card,12.51,72.3,5,rent,61500.0
1058111,charged off,13000,36,9.91,418.93,debt_consolidation,17.3,30.7,10,rent,50000.0
1058082,charged off,30000,60,20.3,487.24,small_business,23.21,56.3,10,mortgage,110000.0
1058186,charged off,12000,60,16.77,296.75,debt_consolidation,18.66,92.1,6,rent,40000.0
1058177,charged off,5000,36,14.27,171.55,home_improvement,21.71,93.1,5,mortgage,61400.0
1058162,charged off,5000,36,14.27,171.55,debt_consolidation,20.93,98.4,10,rent,32000.0
1057750,charged off,8000,36,12.42,267.33,credit_card,23.79,76.0,4,rent,35000.0
1056770,charged off,16000,60,12.69,229.91,debt_consolidation,26.11,26.0,7,rent,50000.0
1057720,charged off,10000,60,18.64,257.43,credit_card,12.75,72.2,5,own,40000.0
1057358,charged off,5350,36,15.27,186.17,home_improvement,9.46,80.1,6,mortgage,52000.0
1041468,charged off,6000,36,7.9,187.75,credit_card,12.66,62.3,1,rent,23040.0
1057055,charged off,19000,60,16.77,469.86,debt_consolidation,18.09,69.6,3,own,38000.0
1057204,charged off,24000,60,21.67,434.11,debt_consolidation,9.98,25.9,1,mortgage,122400.0
1057083,charged off,20300,60,14.27,475.2,debt_consolidation,27.76,59.6,1,rent,80000.0
1057110,charged off,2300,36,7.51,71.56,other,10.23,26.1,1,mortgage,78000.0
1057031,charged off,18800,60,21.28,511.57,debt_consolidation,11.73,93.1,7,rent,75000.0
1056799,charged off,24575,60,19.03,637.9,credit_card,19.75,63.7,10,mortgage,59000.0
1054308,charged off,5000,36,20.89,188.1,other,7.14,99.2,5,rent,21000.0
1056273,charged off,17475,60,17.27,404.35,other,24.84,68.8,10,rent,56000.0
1056298,charged off,34475,60,14.27,807.01,debt_consolidation,20.02,53.2,8,rent,60000.0
1056261,charged off,10050,60,17.27,251.23,home_improvement,17.54,89.9,10,mortgage,74143.68
1056239,charged off,10000,36,15.27,347.98,credit_card,16.37,81.7,1,rent,42000.0
1056234,charged off,35000,60,11.71,516.0,small_business,8.07,25.3,3,mortgage,90000.0
1053252,charged off,18200,36,11.71,601.99,debt_consolidation,20.37,59.6,10,rent,42000.0
1055949,charged off,17000,60,13.49,391.08,debt_consolidation,21.03,84.6,9,rent,53000.0
1055982,charged off,11100,36,15.27,386.26,debt_consolidation,4.64,95.8,6,rent,45000.0
1055723,charged off,12000,60,19.42,314.07,debt_consolidation,6.15,96.5,2,rent,40000.0
1055873,charged off,21000,60,17.27,524.96,debt_consolidation,15.8,74.2,7,own,42000.0
1055838,charged off,18500,36,7.51,575.56,debt_consolidation,9.02,9.8,1,rent,112000.0
1055716,charged off,8500,36,15.96,298.67,credit_card,10.25,62.7,4,rent,27050.0
1055834,charged off,9500,36,12.69,318.68,debt_consolidation,18.95,64.5,5,mortgage,52000.0
1055636,charged off,12000,60,18.25,306.36,debt_consolidation,6.27,63.1,5,rent,165000.0
1055566,charged off,5000,36,7.51,155.56,other,14.14,20.5,1,rent,84855.0
1055509,charged off,4000,36,18.64,145.9,other,12.94,99.0,10,rent,47000.0
1055527,charged off,15000,36,12.69,503.18,debt_consolidation,18.77,43.8,4,rent,62000.0
1055322,charged off,16500,36,17.27,590.49,credit_card,7.97,96.0,10,mortgage,64000.0
1055300,charged off,4000,36,15.27,139.2,debt_consolidation,12.62,91.0,10,own,25000.0
1055468,charged off,3000,36,11.71,99.23,credit_card,9.75,92.7,3,rent,55000.0
1055260,charged off,3500,36,10.65,114.01,medical,16.49,63.7,10,mortgage,175000.0
1054703,charged off,17500,60,10.65,377.45,debt_consolidation,22.01,63.7,10,rent,45256.0
1049553,charged off,35000,60,19.91,573.18,other,16.33,25.6,7,mortgage,165000.0
1054692,charged off,15000,36,15.27,521.97,debt_consolidation,8.25,91.8,3,rent,70000.0
1054653,charged off,35000,60,19.42,916.03,debt_consolidation,19.17,66.9,3,mortgage,70000.0
1054445,charged off,12200,60,14.27,242.28,debt_consolidation,13.13,26.0,8,mortgage,35000.0
1054630,charged off,25000,60,16.77,420.4,credit_card,12.62,70.9,10,rent,81000.0
1054607,charged off,7175,36,7.9,224.51,small_business,7.9,94.1,4,rent,60000.0
1054034,charged off,17000,60,20.89,458.86,home_improvement,10.19,76.9,5,mortgage,84000.0
1052220,charged off,16000,36,14.65,551.91,debt_consolidation,4.99,43.3,7,mortgage,70000.0
1053953,charged off,10000,60,15.96,242.97,debt_consolidation,18.84,23.1,1,rent,56496.0
1053935,charged off,8000,36,6.62,245.63,credit_card,12.33,53.5,10,own,42240.0
1053917,charged off,30000,60,18.64,772.29,credit_card,9.17,66.0,10,own,120000.0
1053702,charged off,15000,36,12.42,501.23,debt_consolidation,11.2,77.1,1,rent,90000.0
1053718,charged off,8400,36,7.51,261.34,debt_consolidation,20.75,16.0,10,rent,72000.0
1053500,charged off,22750,60,20.3,606.54,debt_consolidation,19.31,62.8,1,mortgage,47840.0
1051349,charged off,5000,60,14.27,117.05,major_purchase,12.85,51.7,1,rent,17000.0
1053529,charged off,14000,60,13.49,322.07,debt_consolidation,13.68,81.8,10,own,35000.0
1053445,charged off,1400,36,8.9,44.46,debt_consolidation,20.29,33.4,2,mortgage,30108.0
1051079,charged off,2400,36,10.65,78.18,debt_consolidation,21.67,75.4,8,rent,43080.0
1053280,charged off,5000,36,6.62,153.52,other,16.32,27.7,3,own,32500.0
1053251,charged off,2400,36,9.91,77.34,wedding,17.38,80.8,10,mortgage,72000.0
1053092,charged off,10000,36,17.58,359.43,credit_card,16.56,88.1,10,rent,30000.0
1053090,charged off,10000,36,13.49,339.31,debt_consolidation,13.95,78.0,1,rent,26400.0
1053217,charged off,22800,60,17.27,569.96,credit_card,10.02,65.6,8,rent,68000.0
1053041,charged off,3000,36,11.71,99.23,small_business,24.27,21.5,1,rent,18000.0
1052607,charged off,4200,36,6.62,128.96,debt_consolidation,21.91,63.8,10,rent,35000.0
1052548,charged off,7000,60,22.06,193.58,credit_card,11.76,88.7,5,rent,50000.0
1052545,charged off,3600,60,18.25,91.91,debt_consolidation,17.25,68.3,1,rent,32000.0
1052477,charged off,14000,60,13.49,322.07,small_business,10.78,57.2,10,mortgage,27840.0
1052485,charged off,5325,36,12.42,177.94,credit_card,12.55,88.5,1,rent,22000.0
1052295,charged off,14000,36,10.65,456.03,debt_consolidation,13.44,46.2,2,own,35000.0
1052469,charged off,20000,36,17.27,715.75,debt_consolidation,3.02,38.2,10,mortgage,50000.0
1052225,charged off,16000,36,14.65,551.91,credit_card,19.44,90.9,4,rent,50000.0
1052387,charged off,17000,60,17.58,427.82,credit_card,19.73,74.1,3,rent,75600.0
1052168,charged off,4200,60,11.71,92.82,major_purchase,10.48,4.8,10,mortgage,99996.0
1052376,charged off,19000,60,17.58,478.15,debt_consolidation,22.34,94.4,1,rent,49200.0
1051809,charged off,4000,60,18.64,102.98,debt_consolidation,19.15,63.4,6,rent,48000.0
1052102,charged off,10000,36,13.49,339.31,credit_card,17.18,86.6,5,rent,60000.0
1051764,charged off,5000,36,12.69,167.73,debt_consolidation,23.36,45.1,6,rent,30000.0
1051720,charged off,2800,36,7.51,87.12,other,13.2,42.6,3,rent,27000.0
1051710,charged off,4000,36,6.03,121.75,debt_consolidation,17.53,8.2,2,rent,54000.0
1051694,charged off,12000,60,19.91,317.33,credit_card,17.72,97.5,9,rent,95000.0
1051410,charged off,4000,36,12.69,134.18,debt_consolidation,23.23,36.9,6,mortgage,42000.0
1051442,charged off,6000,36,13.49,203.59,debt_consolidation,17.81,21.2,1,rent,32000.0
1051609,charged off,2575,36,15.96,90.48,debt_consolidation,19.67,91.1,1,rent,44420.0
1051591,charged off,8000,36,9.91,257.8,home_improvement,19.9,0.0,9,rent,60000.0
1051355,charged off,6000,36,15.96,210.83,debt_consolidation,24.85,81.6,10,mortgage,39168.0
1041216,charged off,14000,60,17.27,349.98,car,5.35,75.0,1,rent,52000.0
1051124,charged off,20000,60,14.27,468.17,debt_consolidation,10.16,88.7,4,rent,45000.0
1051048,charged off,15000,60,15.27,358.98,debt_consolidation,24.58,70.0,7,mortgage,77000.0
1050995,charged off,25000,60,21.28,680.28,credit_card,19.25,84.1,10,rent,76000.0
1051186,charged off,7200,36,11.71,238.15,debt_consolidation,22.06,65.3,1,rent,50000.0
1050921,charged off,5000,36,14.27,171.55,debt_consolidation,19.54,91.0,2,mortgage,42000.0
1050934,charged off,5500,36,7.51,171.11,debt_consolidation,16.73,26.8,2,rent,36500.0
1050905,charged off,6000,60,11.71,132.59,debt_consolidation,21.99,93.5,3,mortgage,39996.0
1015745,charged off,15600,60,14.27,365.18,credit_card,11.54,56.4,10,rent,100000.0
1050143,charged off,6000,36,12.69,201.27,other,19.04,80.8,2,rent,45000.0
1050329,charged off,30000,60,20.3,799.84,other,8.5,75.0,1,mortgage,333676.0
929732,charged off,15000,60,13.49,345.08,credit_card,18.46,53.0,1,rent,31000.0
1050229,charged off,9600,36,17.27,343.56,other,24.09,96.4,3,rent,42000.0
1050080,charged off,3600,36,6.62,110.54,debt_consolidation,21.54,70.1,1,rent,60000.0
1050014,charged off,20500,60,10.65,442.15,small_business,2.29,3.8,10,own,78586.0
1033731,charged off,8475,36,12.69,284.3,debt_consolidation,22.27,58.2,10,rent,38423.87
1049691,charged off,4000,36,7.51,124.45,debt_consolidation,15.63,4.4,7,rent,47000.0
1049522,charged off,26000,60,12.69,587.47,debt_consolidation,21.92,59.7,10,rent,49000.0
1049562,charged off,23000,60,19.91,608.21,other,18.68,0.0,10,rent,45600.0
1049201,charged off,12000,60,19.03,311.49,debt_consolidation,12.14,98.3,2,mortgage,35004.0
1049225,charged off,2200,36,8.9,69.86,home_improvement,21.65,65.7,4,mortgage,50000.0
1026422,charged off,24000,60,18.25,612.72,debt_consolidation,6.96,67.2,1,rent,150000.0
1049180,charged off,10275,36,6.62,315.49,debt_consolidation,27.78,34.6,5,rent,32400.0
1048887,charged off,23600,60,21.67,647.39,wedding,7.94,28.8,2,mortgage,73174.4
1048874,charged off,12000,36,12.42,400.99,credit_card,14.0,94.5,10,mortgage,54600.0
1048337,charged off,15000,36,10.65,488.6,credit_card,16.34,59.8,8,mortgage,75000.0
1048016,charged off,25000,60,14.27,585.22,debt_consolidation,20.68,64.6,1,rent,60000.0
1047552,charged off,7875,60,17.27,196.86,car,10.28,70.1,6,own,38400.0
1048535,charged off,12300,36,7.51,382.67,debt_consolidation,22.29,79.1,7,rent,45000.0
1047357,charged off,35000,60,15.96,850.39,debt_consolidation,15.04,88.0,10,mortgage,96000.0
1048710,charged off,7000,60,14.27,163.86,other,12.18,67.1,4,mortgage,45996.0
1048659,charged off,15850,60,17.27,396.22,credit_card,15.9,65.3,1,rent,28000.0
1048621,charged off,35000,60,12.42,786.01,small_business,10.34,57.2,3,rent,65000.0
1048051,charged off,35000,60,12.69,790.82,small_business,1.5,6.4,10,rent,60000.0
1048572,charged off,12000,60,19.03,311.49,debt_consolidation,13.41,49.4,7,mortgage,34000.0
1048083,charged off,29700,60,17.27,742.45,small_business,11.49,15.8,5,rent,58500.0
1048215,charged off,24000,60,12.69,542.28,credit_card,8.05,41.2,10,mortgage,220000.0
1036762,charged off,19750,60,13.49,454.35,credit_card,8.8,60.4,10,mortgage,60000.0
1031182,charged off,35000,60,19.03,908.5,credit_card,13.06,85.1,4,mortgage,60000.0
1047982,charged off,24000,60,21.28,653.07,debt_consolidation,12.27,93.2,3,mortgage,81000.0
1043020,charged off,25975,60,18.64,668.68,debt_consolidation,11.8,94.6,2,mortgage,46000.0
1045540,charged off,15200,36,15.27,528.93,other,22.19,90.5,5,mortgage,96000.0
1047368,charged off,24000,60,14.65,566.56,debt_consolidation,17.15,56.3,6,mortgage,90000.0
1047604,charged off,8000,36,12.69,268.36,debt_consolidation,11.13,82.0,5,rent,36000.0
1047322,charged off,12000,36,16.29,423.61,credit_card,6.1,44.2,5,rent,125000.0
1015821,charged off,13000,36,12.69,436.09,credit_card,6.33,89.8,6,rent,118000.0
1044585,charged off,15000,60,18.25,382.95,debt_consolidation,21.41,47.7,10,mortgage,50004.0
1047248,charged off,35000,60,23.13,989.29,home_improvement,18.36,93.2,3,mortgage,220000.0
