id,loan_status,loan_amount,loan_term,interest_rate,installment,grade,verification_status,purpose,dti,inquiries,open_credit_lines,derogatory,revolving_rate,total_credit_lines,employment_length,home_ownership,annual_income
1037608,current,20000,60,16.77,494.59,d,verified,debt_consolidation,5.5,1,5,0,92.5,16,10.0,rent,110000.0
965286,current,35000,60,18.64,901.01,e,verified,debt_consolidation,6.17,2,14,0,83.9,29,6.0,mortgage,248000.0
1037404,current,14000,60,13.49,322.07,c,not verified,debt_consolidation,19.44,0,7,0,92.0,20,5.0,own,30000.0
1036766,current,12000,60,13.49,276.06,c,not verified,debt_consolidation,21.42,1,8,0,51.8,15,3.0,own,52000.0
1025417,current,21000,60,21.28,571.44,f,verified,other,10.89,0,13,0,86.2,35,10.0,mortgage,109992.0
1036314,current,26375,60,17.58,663.75,d,verified,debt_consolidation,22.66,1,14,0,82.2,36,10.0,mortgage,158000.0
909492,current,15000,60,15.96,364.46,c,not verified,debt_consolidation,14.35,1,9,0,59.2,17,8.0,mortgage,90000.0
1035719,current,18800,60,13.49,432.49,c,verified,debt_consolidation,23.63,2,7,0,66.8,14,10.0,mortgage,58000.0
1035681,current,35000,60,22.06,967.86,f,verified,debt_consolidation,16.36,0,11,0,85.0,29,10.0,rent,90000.0
1035594,current,14675,60,17.27,366.85,d,verified,debt_consolidation,24.52,1,12,0,89.4,21,6.0,rent,34500.0
1033270,current,28000,60,11.71,618.75,b,source verified,small_business,6.16,2,11,0,20.6,29,10.0,mortgage,75000.0
1035442,current,11600,60,14.27,271.54,c,verified,debt_consolidation,23.21,0,10,0,82.6,14,8.0,mortgage,35000.0
1035425,current,35000,60,22.06,967.86,f,verified,credit_card,14.71,0,10,0,92.7,38,10.0,mortgage,95300.0
1034803,current,16550,60,14.65,390.69,c,source verified,other,9.88,1,7,0,84.6,14,7.0,mortgage,52000.0
1034970,current,12000,60,11.71,265.18,b,not verified,debt_consolidation,23.3,0,8,0,69.8,27,10.0,mortgage,48000.0
1034346,current,15000,60,10.65,323.53,b,not verified,car,26.61,3,14,0,0.5,32,10.0,mortgage,64800.0
1034335,current,15000,60,22.74,420.62,g,verified,debt_consolidation,22.32,0,12,0,98.2,17,10.0,mortgage,70000.0
1032493,current,12300,60,19.91,325.26,e,verified,credit_card,24.91,1,13,0,90.4,25,6.0,mortgage,41000.0
1033954,current,3650,60,17.58,91.86,d,source verified,debt_consolidation,12.5,2,12,0,87.4,28,4.0,rent,29000.0
1033927,current,13000,60,15.96,315.86,c,source verified,debt_consolidation,8.27,1,15,0,56.5,34,4.0,mortgage,85000.0
1033553,current,14000,60,13.49,322.07,c,source verified,debt_consolidation,19.77,0,8,0,69.3,9,1.0,rent,33936.0
972799,current,21000,60,12.42,471.61,b,verified,small_business,7.35,2,9,0,29.6,26,10.0,mortgage,70000.0
1033362,current,24000,60,19.03,622.97,e,verified,credit_card,23.74,0,14,0,78.8,20,10.0,rent,98000.0
1033173,current,19075,60,20.3,508.57,e,verified,debt_consolidation,22.75,0,11,0,67.8,51,2.0,rent,50000.0
1033120,current,15000,60,15.27,358.98,c,verified,credit_card,11.88,1,3,0,73.8,16,10.0,rent,29000.0
1033026,current,25975,60,22.06,718.29,f,verified,credit_card,24.85,1,14,0,84.9,28,10.0,mortgage,66000.0
1032764,current,5000,60,9.91,106.02,b,source verified,other,15.41,0,8,0,0.0,24,5.0,mortgage,98580.0
1032251,current,15000,60,13.49,345.08,c,not verified,debt_consolidation,11.4,0,6,0,60.5,13,3.0,mortgage,38000.0
1032417,current,28000,60,18.25,714.83,d,source verified,debt_consolidation,10.84,0,14,0,60.1,39,1.0,mortgage,157000.0
1032091,current,15000,60,20.89,404.88,f,not verified,debt_consolidation,11.33,1,5,0,92.9,25,10.0,rent,59000.0
1032002,current,12000,60,11.71,265.18,b,not verified,debt_consolidation,11.81,1,12,0,50.3,38,10.0,mortgage,120000.0
1029762,current,30000,60,14.65,708.2,c,verified,debt_consolidation,17.16,5,18,0,7.9,31,1.0,mortgage,70000.0
1031564,current,14000,60,14.65,330.5,c,source verified,credit_card,22.33,2,9,0,77.7,19,8.0,rent,81000.0
1031352,current,15850,60,21.28,431.3,f,verified,debt_consolidation,22.8,1,10,0,92.1,36,10.0,mortgage,66000.0
1029623,current,35000,60,12.42,786.01,b,verified,debt_consolidation,18.75,0,10,0,78.8,41,1.0,mortgage,101000.0
1031074,current,30000,60,20.3,799.84,e,verified,debt_consolidation,23.42,0,16,0,60.3,32,4.0,own,180000.0
1031189,current,14125,60,19.42,369.69,e,verified,credit_card,22.78,1,13,0,75.1,47,2.0,rent,50620.0
1030982,current,35000,60,21.28,952.39,f,verified,debt_consolidation,11.27,2,16,0,82.3,32,4.0,mortgage,120000.0
1030283,current,6700,60,15.27,160.35,c,source verified,small_business,16.43,3,11,0,54.1,36,6.0,rent,26000.0
977111,current,35000,60,11.71,773.44,b,verified,credit_card,19.9,0,13,0,66.6,33,10.0,mortgage,100500.0
1030425,current,10500,60,19.42,274.81,e,verified,home_improvement,6.36,3,10,0,66.1,16,4.0,mortgage,50000.0
1030384,current,20000,60,13.49,460.1,c,verified,debt_consolidation,25.23,0,7,0,75.0,20,4.0,own,75000.0
1029654,current,20000,60,11.71,441.97,b,verified,debt_consolidation,6.11,0,5,0,38.7,15,7.0,mortgage,45000.0
1029309,current,20000,60,15.96,485.94,c,verified,debt_consolidation,11.92,1,6,0,65.1,10,2.0,rent,80856.0
1029304,current,4200,60,20.89,113.37,f,not verified,debt_consolidation,14.91,0,5,1,77.3,9,10.0,mortgage,78000.0
1028903,current,28000,60,18.64,720.81,e,verified,other,17.76,1,8,0,14.9,21,1.0,mortgage,140000.0
1028703,current,22400,60,18.25,571.87,d,verified,debt_consolidation,16.0,2,14,0,25.7,43,5.0,mortgage,51000.0
