loan_amount,loan_term,interest_rate,grade,verification_status,purpose,dti,inquiries,derogatory,revolving_rate,total_credit_lines,employment_length,home_ownership,annual_income
6000,36,6.03,a,not verified,debt_consolidation,5.34,1,0,32.5,28,10.0,mortgage,10.727684925086583
14000,36,9.91,b,not verified,small_business,10.0,1,0,13.4,40,6.0,rent,11.289794413577894
5000,36,8.9,a,source verified,debt_consolidation,16.33,0,0,62.1,35,10.0,mortgage,11.51293546492023
10000,36,10.65,b,verified,other,11.47,0,0,52.3,10,6.0,rent,10.203629181337648
10000,36,6.03,a,not verified,credit_card,12.74,1,0,19.5,18,10.0,rent,11.002116507732017
11000,36,6.62,a,not verified,debt_consolidation,10.85,0,0,36.4,7,5.0,rent,11.156264806643742
15000,36,9.91,b,not verified,debt_consolidation,9.12,2,0,63.7,28,8.0,mortgage,11.289794413577894
25600,36,9.91,b,verified,credit_card,15.71,0,0,62.0,27,9.0,rent,11.608244735642321
7000,36,10.65,b,not verified,debt_consolidation,7.38,0,0,92.9,12,1.0,rent,10.596659732783579
12000,36,15.96,c,not verified,car,20.88,2,0,90.8,11,4.0,rent,10.819798284210286
12000,36,9.91,b,not verified,credit_card,8.11,1,0,52.1,12,1.0,rent,10.736418414365376
21000,60,19.91,e,verified,debt_consolidation,21.58,1,0,97.6,14,7.0,rent,10.819798284210286
16000,60,19.91,e,verified,credit_card,20.52,3,0,75.1,21,7.0,rent,11.302216779257382
10000,36,12.42,b,not verified,debt_consolidation,18.58,0,0,72.7,10,1.0,own,10.571342565808699
10000,36,10.65,b,not verified,credit_card,19.14,3,0,59.1,24,2.0,rent,10.847412906506923
7100,36,16.77,d,verified,debt_consolidation,24.0,2,0,91.2,8,1.0,mortgage,10.404293143019792
13000,60,12.69,b,source verified,debt_consolidation,13.72,0,0,58.9,27,1.0,mortgage,10.308985993422082
17500,60,17.27,d,verified,small_business,19.47,1,0,58.9,6,6.0,rent,10.596659732783579
17675,60,14.65,c,source verified,debt_consolidation,16.46,2,0,57.4,14,1.0,rent,10.819798284210286
8000,36,16.77,d,not verified,debt_consolidation,21.64,3,0,66.9,20,1.0,rent,11.034905792929415
10000,60,10.65,b,verified,debt_consolidation,21.73,1,0,30.1,15,10.0,rent,10.73633145595318
3500,36,10.65,b,not verified,debt_consolidation,5.39,1,0,45.9,12,7.0,mortgage,10.915106645867503
12500,60,17.27,d,source verified,debt_consolidation,13.16,0,1,70.8,28,5.0,rent,10.308985993422082
16425,36,14.27,c,source verified,debt_consolidation,22.71,1,0,83.4,18,4.0,rent,10.704255193154744
8200,60,21.28,f,source verified,small_business,12.48,3,0,73.9,11,4.0,rent,11.225256725762893
15000,36,14.65,c,verified,credit_card,11.88,1,0,79.5,18,2.0,own,11.0186455364637
20975,60,17.58,d,verified,credit_card,18.79,0,1,79.4,21,5.0,mortgage,10.691967639914864
6400,36,16.77,d,not verified,debt_consolidation,20.22,0,0,67.5,27,5.0,rent,11.225256725762893
3000,36,13.49,c,not verified,debt_consolidation,18.11,0,0,83.2,7,1.0,rent,10.422311107413181
12000,36,16.77,d,not verified,credit_card,20.57,1,0,97.0,19,3.0,rent,10.819798284210286
14400,36,8.9,a,source verified,debt_consolidation,14.85,0,0,55.0,38,1.0,own,11.918397239722838
12000,36,14.65,c,not verified,debt_consolidation,16.56,2,0,78.5,36,10.0,rent,11.407576060361786
11000,36,13.49,c,verified,debt_consolidation,21.82,3,0,65.0,29,10.0,mortgage,10.778977123006351
7250,60,21.67,f,verified,debt_consolidation,24.82,2,1,91.2,19,1.0,rent,11.225256725762893
15000,36,7.9,a,not verified,small_business,9.65,1,0,6.7,29,1.0,mortgage,10.859018228147887
18000,60,19.91,e,not verified,debt_consolidation,6.81,0,0,77.8,40,10.0,mortgage,11.082157933374816
35000,60,17.27,d,verified,home_improvement,7.51,1,0,53.3,31,3.0,mortgage,11.918397239722838
10000,36,14.27,c,source verified,credit_card,15.39,1,0,81.3,15,2.0,rent,11.127277689932466
11800,36,12.69,b,source verified,credit_card,9.86,0,0,74.8,13,6.0,rent,10.645448706505872
4500,36,6.03,a,source verified,major_purchase,4.44,0,0,13.9,17,4.0,rent,10.87806606028079
7000,36,12.69,b,source verified,credit_card,11.35,2,0,82.3,26,10.0,rent,10.463131911491967
9200,36,12.42,b,source verified,debt_consolidation,19.96,3,0,78.7,19,2.0,rent,11.002116507732017
4500,60,10.65,b,source verified,car,5.4,0,0,78.3,9,1.0,mortgage,10.645448706505872
12000,36,16.29,d,verified,debt_consolidation,16.85,0,0,96.4,15,9.0,rent,11.389242559257651
12000,36,13.49,c,source verified,debt_consolidation,21.33,1,0,27.6,19,4.0,rent,11.184435286790631
12000,36,10.65,b,verified,credit_card,23.94,0,0,78.4,51,1.0,rent,11.034905792929415
7000,36,10.65,b,not verified,credit_card,5.38,0,0,78.1,11,3.0,mortgage,10.684668503929622
8200,60,19.42,e,source verified,debt_consolidation,2.8,2,0,88.4,6,3.0,rent,11.695255355062795
10500,36,12.69,b,verified,medical,20.73,2,0,51.2,26,10.0,rent,11.097425172408931
7000,36,11.71,b,not verified,debt_consolidation,21.01,0,1,52.4,26,4.0,own,10.57441468619423
20000,60,11.71,b,verified,debt_consolidation,10.04,0,0,46.3,27,4.0,mortgage,10.774801838762809
17500,60,17.27,d,not verified,credit_card,21.31,2,0,86.1,26,7.0,mortgage,10.714439990727769
3500,36,6.03,a,verified,car,2.31,0,0,13.4,28,10.0,mortgage,11.326607934898927
6200,36,9.91,b,not verified,debt_consolidation,20.64,2,0,47.7,12,2.0,rent,10.12667110305036
6000,36,8.9,a,not verified,debt_consolidation,13.17,0,0,36.8,13,8.0,own,10.268165387743457
7200,36,9.91,b,not verified,credit_card,6.12,0,0,79.6,18,6.0,rent,11.813037464800539
9500,36,8.9,a,not verified,credit_card,8.18,0,0,60.5,13,7.0,mortgage,10.819798284210286
18825,60,16.77,d,verified,debt_consolidation,23.18,0,0,79.7,7,10.0,rent,10.545367754151743
24000,36,10.65,b,verified,debt_consolidation,14.8,0,0,55.2,9,10.0,rent,10.714439990727769
6000,36,13.49,c,not verified,debt_consolidation,11.58,0,0,83.8,16,10.0,rent,11.289794413577894
6000,36,13.49,c,not verified,debt_consolidation,15.38,1,0,91.5,7,5.0,rent,10.819798284210286
2100,36,12.42,b,not verified,vacation,19.72,1,0,82.9,26,10.0,mortgage,10.308985993422082
5500,36,6.62,a,verified,small_business,9.69,0,0,21.9,26,8.0,mortgage,11.608244735642321
11000,36,6.62,a,source verified,debt_consolidation,20.5,0,0,58.7,11,8.0,own,10.727860344448946
26800,60,20.89,f,verified,debt_consolidation,12.15,0,0,48.0,18,3.0,mortgage,11.695255355062795
8000,36,12.69,b,not verified,debt_consolidation,10.05,0,0,97.7,18,5.0,mortgage,10.463131911491967
10000,36,18.25,d,source verified,credit_card,24.14,0,0,96.3,26,1.0,rent,11.225256725762893
8000,36,11.71,b,verified,credit_card,9.7,0,0,46.5,8,9.0,mortgage,10.463131911491967
10000,36,8.9,a,verified,debt_consolidation,7.0,0,0,49.5,21,6.0,rent,10.085850775128717
12000,36,11.71,b,not verified,debt_consolidation,13.32,0,0,54.1,38,2.0,mortgage,11.744045122410057
10000,36,7.9,a,not verified,debt_consolidation,25.26,0,0,37.2,16,1.0,rent,10.668978650219241
12000,36,9.91,b,not verified,debt_consolidation,16.44,1,0,29.3,25,1.0,rent,10.819798284210286
25000,60,13.49,c,verified,credit_card,14.15,0,0,91.2,21,10.0,mortgage,11.112462823634855
19750,36,10.65,b,verified,debt_consolidation,22.8,0,0,54.2,28,4.0,rent,10.714439990727769
10000,36,9.91,b,source verified,debt_consolidation,14.81,0,0,27.0,19,3.0,rent,10.348205424565993
13650,36,12.42,b,verified,debt_consolidation,24.09,0,0,56.5,34,4.0,rent,11.097425172408931
28000,60,19.91,e,verified,debt_consolidation,20.7,0,0,87.6,16,10.0,rent,10.859018228147887
18000,36,7.9,a,source verified,debt_consolidation,27.55,0,0,76.6,20,10.0,rent,10.950192323132216
2500,36,14.27,c,source verified,debt_consolidation,10.33,1,0,37.7,20,7.0,rent,10.809748150372926
21000,60,20.3,e,verified,credit_card,23.21,2,0,70.7,25,10.0,rent,11.156264806643742
35000,36,8.9,a,verified,debt_consolidation,22.71,0,0,34.8,32,6.0,mortgage,11.736077016252437
10000,36,7.51,a,not verified,credit_card,9.75,1,0,0.6,19,3.0,rent,10.404293143019792
7000,36,12.69,b,source verified,credit_card,15.8,2,0,47.6,11,1.0,rent,10.308985993422082
24000,36,15.96,c,source verified,home_improvement,9.17,1,0,71.2,23,8.0,mortgage,11.407576060361786
10625,36,7.51,a,not verified,medical,18.89,1,0,43.4,21,5.0,mortgage,10.043292972227004
5000,36,14.65,c,source verified,debt_consolidation,18.3,2,0,33.3,9,2.0,rent,10.085850775128717
8850,36,6.62,a,source verified,credit_card,17.71,0,0,35.9,19,10.0,rent,11.034905792929415
6375,36,7.51,a,source verified,debt_consolidation,4.8,0,0,58.0,11,4.0,rent,10.691967639914864
6000,36,11.71,b,not verified,credit_card,2.97,0,0,56.6,23,1.0,rent,11.407576060361786
11100,36,6.62,a,verified,credit_card,29.85,1,0,62.3,18,10.0,rent,10.62135173563291
10000,60,12.69,b,source verified,debt_consolidation,10.82,1,0,31.2,18,2.0,mortgage,10.933124826700707
6200,36,6.03,a,not verified,small_business,18.2,0,0,16.0,18,5.0,mortgage,10.184937747111391
15000,36,18.64,e,not verified,debt_consolidation,19.69,2,0,90.3,12,1.0,rent,10.896757843893464
4200,36,11.71,b,not verified,other,16.91,0,0,79.7,22,2.0,rent,10.87806606028079
14000,36,14.27,c,not verified,debt_consolidation,7.36,1,0,70.8,14,4.0,rent,10.874285408908944
8875,36,7.51,a,not verified,debt_consolidation,23.53,1,0,62.1,27,1.0,mortgage,10.545367754151743
13500,36,9.91,b,verified,debt_consolidation,12.38,1,0,67.3,7,7.0,rent,10.545367754151743
12000,36,9.91,b,not verified,debt_consolidation,7.83,2,0,65.4,16,2.0,rent,10.645448706505872
16000,60,19.91,e,verified,debt_consolidation,15.8,0,0,72.4,19,4.0,rent,10.915106645867503
21600,60,19.42,e,source verified,debt_consolidation,16.74,0,0,78.1,21,8.0,mortgage,11.002116507732017
6000,36,10.65,b,not verified,home_improvement,12.86,0,0,40.5,22,6.0,mortgage,11.373674891823535
8450,60,16.77,d,verified,debt_consolidation,22.51,2,0,83.5,21,5.0,own,10.12667110305036
20000,60,13.49,c,not verified,credit_card,17.68,0,0,61.4,23,1.0,rent,11.314486721293981
10000,36,11.71,b,not verified,debt_consolidation,22.08,0,0,29.3,26,8.0,rent,11.002116507732017
12000,36,16.29,d,verified,credit_card,18.18,0,0,97.2,11,5.0,mortgage,11.289794413577894
13475,60,13.49,c,verified,credit_card,21.89,1,0,65.8,14,10.0,rent,10.12667110305036
7200,36,12.42,b,not verified,major_purchase,17.43,1,0,80.2,10,5.0,rent,10.778977123006351
5600,36,14.65,c,not verified,debt_consolidation,12.24,3,0,90.8,31,1.0,mortgage,11.350418300109132
12000,36,14.27,c,verified,debt_consolidation,10.86,1,0,81.5,11,1.0,rent,10.950824090522445
8500,36,6.03,a,not verified,credit_card,1.73,0,0,28.0,18,2.0,rent,10.12667110305036
8000,36,9.91,b,source verified,credit_card,18.28,0,0,78.5,7,2.0,rent,10.434145214930487
8000,36,12.42,b,not verified,credit_card,15.0,0,0,88.2,11,10.0,rent,10.596659732783579
16000,60,15.27,c,source verified,debt_consolidation,17.44,1,0,92.3,17,10.0,rent,10.660956043145024
15000,36,17.27,d,source verified,house,3.59,0,1,91.6,16,2.0,mortgage,10.70101727068921
10000,36,9.91,b,not verified,debt_consolidation,11.24,1,0,66.8,30,2.0,own,10.308985993422082
10000,36,6.62,a,not verified,credit_card,16.78,0,0,69.0,18,5.0,mortgage,11.156264806643742
8000,36,14.65,c,not verified,car,12.6,1,0,54.3,11,3.0,rent,10.239995502805316
22000,36,9.91,b,verified,debt_consolidation,13.22,4,0,49.8,32,2.0,mortgage,10.819798284210286
6000,36,14.27,c,verified,car,24.53,1,0,95.9,30,10.0,mortgage,11.459535236710686
16000,60,9.91,b,verified,debt_consolidation,9.39,1,0,28.5,23,10.0,own,10.596659732783579
13500,36,9.91,b,source verified,credit_card,22.93,1,0,67.2,15,2.0,mortgage,10.491301994830229
25000,36,12.42,b,verified,debt_consolidation,8.32,0,0,34.6,23,2.0,rent,12.323860125621126
10000,36,13.49,c,verified,small_business,24.97,2,0,48.3,12,2.0,rent,10.734242182303689
2500,36,13.49,c,not verified,debt_consolidation,6.44,0,0,68.1,6,4.0,rent,10.211009016314167
7325,36,12.69,b,not verified,debt_consolidation,22.57,3,0,65.0,29,1.0,rent,10.645448706505872
4000,36,12.42,b,verified,credit_card,12.12,3,0,85.7,21,5.0,rent,11.813037464800539
10000,36,13.49,c,not verified,small_business,6.92,2,0,69.5,17,5.0,rent,11.082157933374816
7750,36,17.27,d,not verified,debt_consolidation,16.1,1,0,67.1,7,1.0,rent,10.085850775128717
20000,60,20.89,f,source verified,debt_consolidation,16.63,1,0,79.9,24,6.0,rent,11.156264806643742
9600,36,12.42,b,verified,debt_consolidation,11.65,0,0,70.9,11,10.0,rent,11.082157933374816
21000,60,11.71,b,not verified,debt_consolidation,6.62,0,0,79.9,11,3.0,rent,11.002116507732017
14000,36,10.65,b,source verified,credit_card,15.52,0,0,65.6,14,3.0,rent,10.308985993422082
13350,36,12.42,b,not verified,debt_consolidation,20.57,0,0,95.3,15,10.0,rent,10.668978650219241
15000,36,16.77,d,verified,debt_consolidation,19.63,2,0,74.9,38,10.0,rent,10.645448706505872
15000,36,17.27,d,source verified,debt_consolidation,16.03,0,0,75.9,17,8.0,rent,11.225256725762893
35000,36,10.65,b,verified,debt_consolidation,3.17,1,0,1.4,22,2.0,mortgage,12.031725210748633
9000,36,10.65,b,source verified,credit_card,8.89,0,0,71.7,10,9.0,mortgage,11.211833885608513
22475,60,15.27,c,verified,debt_consolidation,15.23,1,0,61.8,23,7.0,mortgage,10.859018228147887
16000,36,12.69,b,source verified,debt_consolidation,20.64,0,0,89.3,10,1.0,rent,10.97679912709094
13500,36,12.69,b,source verified,debt_consolidation,11.97,2,0,77.7,11,5.0,rent,11.170449240431308
24000,36,12.69,b,verified,debt_consolidation,11.6,0,0,84.6,33,10.0,rent,11.225256725762893
12000,36,10.65,b,not verified,credit_card,10.84,1,0,48.8,18,5.0,rent,11.002116507732017
8400,60,16.77,d,not verified,major_purchase,11.35,0,0,80.3,13,5.0,rent,11.385058001970144
28000,60,17.58,d,verified,home_improvement,12.07,1,0,13.4,24,5.0,mortgage,11.849404844423074
14000,36,6.62,a,source verified,debt_consolidation,11.15,1,0,35.4,46,10.0,rent,11.097425172408931
12000,36,14.27,c,not verified,other,8.4,1,0,86.2,12,8.0,mortgage,11.156264806643742
25000,36,11.71,b,verified,debt_consolidation,6.88,1,0,89.1,18,10.0,mortgage,11.51293546492023
9000,36,12.69,b,source verified,debt_consolidation,17.81,1,0,55.4,21,5.0,rent,10.819798284210286
13250,36,10.65,b,not verified,debt_consolidation,24.93,2,0,58.7,25,4.0,rent,10.463131911491967
20000,36,13.49,c,verified,debt_consolidation,22.38,1,0,90.8,17,6.0,rent,11.225256725762893
3000,36,14.65,c,verified,medical,21.84,1,0,88.7,14,5.0,rent,11.170449240431308
7350,36,10.65,b,not verified,debt_consolidation,11.93,0,0,77.5,5,10.0,mortgage,10.778977123006351
11500,36,15.27,c,not verified,debt_consolidation,21.1,1,0,76.7,14,5.0,rent,10.491301994830229
13650,36,12.42,b,not verified,debt_consolidation,12.29,1,0,73.4,34,10.0,mortgage,11.362114203075018
10500,36,16.29,d,source verified,debt_consolidation,15.0,1,0,55.5,8,3.0,rent,10.308985993422082
12000,36,9.91,b,not verified,debt_consolidation,15.5,0,0,85.7,21,2.0,rent,11.002116507732017
6000,36,8.9,a,not verified,credit_card,14.51,2,0,64.8,16,3.0,rent,10.434145214930487
11500,36,15.27,c,verified,credit_card,21.69,1,0,90.0,11,10.0,mortgage,10.69650269224425
7000,36,12.42,b,not verified,debt_consolidation,12.0,1,0,71.6,31,7.0,mortgage,11.314486721293981
29500,60,20.3,e,source verified,debt_consolidation,20.93,0,0,89.8,35,6.0,mortgage,11.326607934898927
2000,36,15.27,c,verified,moving,17.74,1,0,96.4,11,2.0,rent,10.62135173563291
11625,36,13.49,c,source verified,credit_card,19.33,1,0,84.7,31,1.0,mortgage,10.491301994830229
15075,36,14.27,c,verified,debt_consolidation,20.16,1,0,89.6,14,10.0,rent,10.463131911491967
5300,36,15.27,c,verified,credit_card,24.88,2,0,82.7,13,1.0,rent,10.308985993422082
8200,36,6.62,a,source verified,home_improvement,11.1,1,0,25.5,11,1.0,rent,10.596659732783579
12000,36,12.42,b,not verified,credit_card,13.98,1,0,75.0,25,9.0,mortgage,11.561725152903833
8650,36,14.27,c,source verified,credit_card,7.6,2,0,58.9,23,4.0,mortgage,10.714439990727769
12000,36,12.42,b,not verified,debt_consolidation,11.81,2,0,51.1,61,2.0,rent,11.326607934898927
9500,36,12.69,b,source verified,moving,23.54,2,0,75.3,42,1.0,mortgage,10.868587496017359
7400,36,13.49,c,source verified,debt_consolidation,8.45,0,0,92.8,13,1.0,own,10.12667110305036
14400,36,13.49,c,not verified,debt_consolidation,16.92,1,0,65.0,26,10.0,mortgage,11.002116507732017
24250,60,23.91,g,verified,debt_consolidation,12.96,3,0,99.0,20,7.0,mortgage,11.695255355062795
7200,36,7.9,a,source verified,debt_consolidation,7.98,0,0,82.9,14,3.0,rent,11.127277689932466
26000,60,16.77,d,verified,home_improvement,11.77,1,0,72.7,14,10.0,mortgage,10.87806606028079
7000,60,11.71,b,verified,credit_card,26.22,0,0,90.9,23,6.0,mortgage,11.150534214035387
4000,36,7.51,a,source verified,major_purchase,18.17,0,0,50.7,24,1.0,rent,11.082157933374816
1500,36,17.27,d,verified,debt_consolidation,8.23,0,0,97.8,14,10.0,mortgage,11.87757552297847
19600,36,12.42,b,verified,credit_card,11.62,0,0,50.1,12,2.0,rent,11.225256725762893
2500,36,11.71,b,verified,debt_consolidation,18.7,0,0,66.7,13,7.0,mortgage,10.275085591132715
10000,36,12.69,b,not verified,credit_card,2.69,0,0,70.2,6,2.0,rent,11.156264806643742
10000,36,6.62,a,not verified,credit_card,26.85,0,0,70.4,40,5.0,rent,10.714439990727769
4225,36,12.42,b,not verified,other,17.61,1,0,73.7,12,5.0,mortgage,10.918736348043124
3500,36,7.9,a,not verified,vacation,6.46,0,0,55.5,19,7.0,mortgage,11.025832643730768
12000,36,6.62,a,not verified,debt_consolidation,13.65,0,0,80.3,21,10.0,mortgage,10.933124826700707
16500,36,8.9,a,source verified,debt_consolidation,9.06,1,0,38.8,24,1.0,rent,10.757924157061597
22000,60,21.67,f,verified,debt_consolidation,15.62,1,0,79.4,27,1.0,rent,10.915106645867503
12000,36,14.65,c,verified,credit_card,14.87,2,0,71.0,38,1.0,rent,11.170449240431308
15600,60,12.69,b,source verified,vacation,5.78,1,0,35.7,11,10.0,rent,10.819798284210286
10800,36,12.42,b,verified,credit_card,12.12,0,0,74.5,23,8.0,rent,11.813037464800539
14000,36,12.42,b,not verified,credit_card,7.35,0,0,97.8,19,10.0,mortgage,11.050905878263567
6000,36,13.49,c,not verified,debt_consolidation,15.58,1,0,83.6,14,5.0,mortgage,10.819798284210286
12000,36,9.91,b,not verified,debt_consolidation,14.83,0,0,67.7,21,5.0,rent,11.289794413577894
10000,36,12.42,b,not verified,debt_consolidation,10.45,0,0,51.6,19,4.0,rent,10.714439990727769
8000,36,7.9,a,not verified,vacation,6.09,1,0,55.9,31,2.0,rent,11.264476926102367
14125,36,9.91,b,verified,debt_consolidation,23.13,3,0,66.0,20,1.0,rent,10.404293143019792
14000,36,12.69,b,not verified,debt_consolidation,19.24,1,0,64.5,18,5.0,rent,11.047726275896391
13200,60,17.27,d,source verified,small_business,9.64,3,0,50.1,12,3.0,rent,10.181157167204903
4000,36,19.03,e,not verified,vacation,20.59,2,0,22.6,56,10.0,mortgage,11.289794413577894
4000,36,12.69,b,not verified,debt_consolidation,6.86,3,0,79.7,13,2.0,rent,10.12667110305036
10500,36,6.03,a,source verified,debt_consolidation,10.36,0,0,18.7,16,10.0,mortgage,11.082157933374816
5500,36,7.9,a,source verified,car,6.65,0,1,43.3,23,10.0,own,10.985309671896763
7350,36,11.71,b,verified,debt_consolidation,22.51,1,0,77.9,23,1.0,rent,10.404293143019792
10000,36,12.42,b,source verified,credit_card,18.31,1,0,90.6,19,10.0,rent,10.571342565808699
12000,36,7.51,a,not verified,debt_consolidation,10.74,1,0,43.0,17,10.0,rent,10.645448706505872
5000,60,11.71,b,not verified,home_improvement,23.78,0,0,57.3,17,5.0,mortgage,10.54547300900014
8000,60,11.71,b,source verified,other,16.22,3,0,34.4,29,3.0,own,10.34177474101152
4500,36,8.9,a,verified,other,23.43,0,0,24.4,20,10.0,mortgage,10.83370091325064
18000,36,12.42,b,verified,credit_card,12.51,2,0,66.1,27,1.0,own,11.225256725762893
12000,36,13.49,c,not verified,debt_consolidation,15.72,0,0,80.5,13,6.0,rent,10.596659732783579
10000,36,13.49,c,not verified,credit_card,5.88,2,0,47.6,15,10.0,mortgage,10.819798284210286
6000,36,7.9,a,not verified,other,8.87,4,0,30.3,29,7.0,mortgage,11.289794413577894
12000,36,12.69,b,not verified,debt_consolidation,22.2,1,0,55.5,23,4.0,rent,10.596659732783579
12000,36,8.9,a,not verified,other,9.13,0,0,83.5,16,7.0,rent,11.289794413577894
7000,36,11.71,b,source verified,debt_consolidation,15.57,0,0,94.1,17,2.0,rent,11.225256725762893
35000,60,18.64,e,verified,debt_consolidation,12.0,1,0,53.0,50,8.0,mortgage,11.350418300109132
1400,36,7.9,a,not verified,other,10.0,1,0,9.9,7,1.0,rent,10.268165387743457
16000,60,13.49,c,verified,small_business,16.22,1,0,58.5,14,10.0,rent,10.463131911491967
3200,36,9.91,b,not verified,debt_consolidation,2.16,0,1,33.3,17,9.0,rent,11.021918808236205
8000,36,7.9,a,not verified,medical,13.35,0,0,34.4,11,1.0,rent,10.596659732783579
11875,60,12.69,b,source verified,debt_consolidation,23.75,0,0,94.1,28,1.0,rent,10.162808729968926
5000,36,6.03,a,not verified,home_improvement,3.82,0,0,4.0,14,9.0,mortgage,10.896757843893464
1800,36,6.62,a,not verified,small_business,23.8,0,0,39.8,12,10.0,rent,9.798182590890704
35000,36,8.9,a,verified,debt_consolidation,17.73,0,0,61.5,13,5.0,rent,11.350418300109132
18000,36,8.9,a,verified,credit_card,7.0,1,0,66.3,10,5.0,rent,11.264476926102367
14000,36,7.9,a,not verified,debt_consolidation,19.74,0,0,63.9,10,10.0,own,10.727684925086583
5000,36,12.42,b,not verified,debt_consolidation,20.06,1,0,54.2,26,2.0,rent,11.156264806643742
8000,36,15.96,c,source verified,credit_card,14.04,2,0,91.9,30,4.0,rent,11.156264806643742
10000,36,6.03,a,not verified,debt_consolidation,12.99,0,0,45.2,17,9.0,mortgage,11.289794413577894
10000,36,7.51,a,verified,debt_consolidation,4.63,2,0,25.7,25,5.0,rent,10.819798284210286
12000,36,12.42,b,verified,debt_consolidation,18.51,0,0,75.7,13,10.0,mortgage,10.463131911491967
23200,36,7.9,a,verified,debt_consolidation,27.99,0,0,47.0,34,3.0,mortgage,11.082157933374816
4800,36,15.27,c,not verified,debt_consolidation,9.3,1,0,73.7,18,10.0,mortgage,11.225256725762893
7300,36,11.71,b,not verified,debt_consolidation,16.42,1,0,44.6,17,6.0,rent,10.463131911491967
